suburb,incident_date,injuries,offender,victim
Avalon,2012-04-10,Bite Wound,Staffy Shipperke,Sheep
Grovedale,2012-04-08,Bite Wound,U/K,Person
Lara,2012-04-11,mauled,Rhodesian Ridgeback & ?,Sheep
Grovedale,2012-04-12,Torn pants,Pugx,Person
Lara,2012-02-06,Mauled,?,Sheep
Highton,2012-02-06,Minor bite,?,Dog
U/K,2012-02-10,Taken to vet,U/K,Dog
Hamlyn Heights,2012-02-23,Taken to vet,U/K,Cat
Norlane,2012-02-05,Dead,GSP,Cat
Newtown,2012-02-07,Minor bite,staffy,Dog
Belmont,2012-02-29,minor bite,German Shep,Dog
Lara,2012-02-01,Bruise on leg,Pitbullx,Person
Lara,2012-02-06,bite in hand,Mastiff x,person
Corio,2012-02-01,bite on arm,rotti,person
Corio,2012-02-06,minor bite,Mastiff x,person
Lara,2012-02-20,bite on ankle,Kelpie,person
Lara,2012-02-22,minor bite,German shep,Dog
,,,,
whittington,2012-03-13,bite wounds,Staffys,Cat
Hamlyn Heights,2012-03-13,Taken to vet,U/K,Dog
Grovedale ,2012-03-16,Deceased,Staffys,Dog
Drysdale,2012-03-16,Taken to vet,U/K,Dog
Newcomb,2012-03-20,Taken to vet,pitbull,Dog
Belmont,2012-03-19,Taken to vet,Staffy x,Dog
Corio,2012-03-27,Taken to vet,Rotti's,Dog
Waurn Ponds,2012-03-26,Taken to vet,U/K,Dog
Portarlington,2012-03-05,Pants torn,U/K,Person
whittington,2012-03-13,taken to vet,staffy x,cat
corio,2012-04-03,Bite,Staffyx,Dog
U/K,2012-04-04,Dead,Husky,Chooks
Lara,2012-04-11,Dead,Ridgebackx,Sheep
Lovely Banks,2012-04-12,Dead,Rotti,Sheep
Norlane,2012-04-15,Dead,Staffy's,Cat
Mt Duneed,2012-04-16,Dead,Terrier & hound x,Chooks 
Breakwater,2012-04-16,Dead,U/K,Rabbit
Lara,2012-04-30,Dead,malamute,Chooks
Barwon Heads,2012-04-18,Bite requiring hospital visit ,weimeraner,Child
Bannockburn,2012-04-02,Minor Bites,staffy's,Dog
Avalon,2012-04-10,Mauled,U/K,Sheep
Lovely Banks,2012-04-14,Minor Bites,U/K,Dog &bitten
Indented Heads,2012-04-18,Minor Bites,Staffy,Dog bitten
Little River,2012-04-23,Minor Bites,Blue Heelers,Dog bitten
Grovedale,2012-04-12,pants torn,U/K,Child Bitten
Bell Park,2012-04-13,Pulled at pants,maltese x,Person bitten
Corio,2012-04-23,Bruise,U/K,Child Bitten
corio,2012-05-02,vet treatment required,staffy,dog
Leopold,2012-05-07,Dead,Husky,Chooks
Lara,2012-05-09,Dead,pitbull type,Sheep
Leopold,2012-05-15,dead,Unknown,Chooks Guinea pig
Corio,2012-05-01,Taken to vet,staffy,dog
Norlane,2012-05-04,Bite,Unknown,Dog
Corio,2012-05-04,bite,Unknown,dog
Leopold,2012-05-15,bite,Unknown,cat
Corio,2012-05-16,bite,Husky,cat
Lara,2012-05-16,Taken to vet,staffys,dog
Indented Heads,2012-05-17,Taken to vet,Staffyx,dog
Norlane,2012-05-19,Dead,Unknown,sheep?
St Leonards,2012-05-14,bite wound,Unknown,personbitten 
Norlane,2012-05-17,monor bite,border collie, person
Newcomb,2012-05-15,minor bite on hand,border collie,personbitten 
Portarlington,2012-05-19,bite on leg,Daschund,personbitten 
corio,2012-05-23,Dead,pitbull type,Dog
St Leonards,2012-05-23,Taken to vet,Alsatian,dog
Grovedale,2012-05-24,No injuries,Unknown,dog
Grovedale,2012-05-24,Taken to vet,Unknown,dog
Ocean Grove,2012-05-26,broken skin,Unknown,personbitten 
St Leonards,2012-05-27,Taken to vet,Unknown,dog
Lara,2012-05-23,Dead,Unknown,sheep
East Geelong,2012-05-21,broken skin,Staffy,dog
East Geelong,2012-06-01,broken skin,Unknown,personbitten 
Corio,2012-06-03,Dead,American Staffy/English Staffy,dog
Wallington,2012-06-12,Dead,Unknown,sheep
Bell Post Hill,2012-06-18,person had skin graft,Boxer,dog/person
Ocean Grove,2012-06-26,Dead,Bedlington,chickens
Leopold,2012-06-27,None,German Shepherd,Dog
Lara,2012-06-16,Unknown,Unknown,Unknown
Highton,2012-06-12,broken skin,Mini/Doberman,personbitten 
Clifton Springs,2012-06-12,None,Kelpie X,Dog
Belmont,2012-06-19,broken skin,Fox Terrier X,Person 
Highton,2012-07-31,,GreyhoundBull Dog,Dog
Corio,,Death,Red Heeler,Cat
Corio,2012-07-19,Death,,Dog
Hamlyn Heights,2012-07-14,Death,Unsure,Budgies
Waurn Ponds,2012-07-11,,Spoodle,Dog
Grovedale,2012-07-25,Missing Feathers,Staghound/CrossBull Arab Cross,Chicken
Ocean Grove,2012-08-24,Death,,Swan
Barwon Heads,2012-08-25,Death,Ridgeback/Bull Mastiff,Chicken
Newcomb,2012-08-17,Broken Skin,Lab?,Person
Belmont,2012-08-03,Broken Skin,Kelpie,Person
Grovedale,2012-08-01,Stitches Required,Lab,Dog
Clifton Springs,2012-08-22,Severe Tearing,Border CollieBull Mastiff/Cross,Dog
Norlane,2012-08-02,,Staffordshire/Bull Terrier,Dog
Bell Post Hill,2012-08-15,,Kelpie/Cross,Dog
Bell Post Hill,2012-08-19,Puncture Marks,Staffordshire/Bull Terrier,Dog
Clifton Springs,,PunctureMarks,Siberian Husky,Dog
Corio,2012-07-30,Puncture Marks,Blue Heeler/Kelpie,Person
Indented heads,2012-08-30,Puncture Marks,Koolie,Person
Leopold,2012-09-12,Death,Unsure,Chickens
Ceres,2012-09-06,Death,Unsure,Sheep
Clifton Springs,2012-09-04,Broken Skin,Unsure,Dog
Corio,2012-09-03,Broken Skin,                                                                                                                ,Person
Drysdale,2012-09-03,Bruised,Border Collie,Dog
East Geelong,2012-08-28,,Unsure,Person
Highton,2012-09-15,,German Shepherd,Person
Clifton Springs,2012-09-01,Broken Skin,Schnauzer,Dog
Belmont,2012-09-09,Death,German Shepherd,Dog
Highton,2012-09-06,Puncher Wound,,Person
Norlane,2012-09-02,Puncher Wound,Red Heeler,Dog
,,,,
Indented Head,2012-09-09,Death,Curly Haired/Retriever,Chicken
St Leonards,2012-09-23,Bite,Lhasa Apso,Person
Belmont,2012-09-09,Death,,Dog
Newtown,2012-09-24,,Staffy,Dog
Anakie,2012-10-08,Bruising,Alsation,Person
Corio,2012-10-02,,Border Collie,Dog
Lara,2012-10-06,Bite,Staffy,Person
Geelong West,2012-10-05,Bite,,Person
Geelong  ,2012-10-04,Bite,Bull/Staffy,Person
Barwon Heads,2012-10-04,Severe Tearing,German Shephard X,Dog
Belmont,2012-10-24,,American Bulldogs,Cat
Lovely Banks,2012-10-25,Death,,Sheep
Hamlyn Heights,,Death,Greyhounds,Cat
Belmont,2012-10-11,,Staffy's,Dog
Grovedale,2012-11-03,Puncture,Staffy X,Person
Newcomb,2012-10-31,Death,Malamute,Chickens
St Albans Park,2012-11-12,Puncture,Staffy and a Rotty,Dog
Highton,2012-11-19,Muscle ,Staffys,Dog
Leopold,2012-11-16,Puncture,German Shepherd,Dog
Highton,,,bull Terrier/ Pit Bull,Dog
Lovely Banks,2012-11-18,Gashes,Rotty,Person
Manifold Heights,2012-11-28,,Blue Heeler,Dog
Clifton Springs,2012-11-26,Bite,Kelpie X andGerman Shephard X,Dog
Geelong West,2012-11-19,Puncture,Bull Dog,Person
Norlane,2012-11-11,,Bull Terrier,Person
Ocean Grove,2012-12-27,Graze,Jack Russel,Person
Corio,2012-12-21,,Pitbulls,
Geelong,2012-11-26,,Bitza,Dog
,2012-12-18,Ripped Skin,Jack Russel,Alpaca
Norlane,2012-12-23,Bitten Lip,Small Dog,Child
Indented Head,2012-12-09,SevereTearing,Bull Dog,Dog
Bell Park,2011-01-01,Brocken Skin,Shih Tzu,Person
Lara,2011-01-02,Death,Unknown,Foal
Wallington,2011-04-11,Death,Labradors,Chickens
East Geelong,2011-01-13,Unknown,Ridgeback                                                                                                                                                                                                                                  Cross,Person
Geelong,2011-01-19,Death,Cavalier KC Spaniel,Chickens
Whittington,2011-01-20,Unknown,Unknown,Dog
Bell Park,2011-01-19,Severe tearing,Pitbull,Dog
Grovedale,2011-01-21,Nil,Mastiff,Dog
Norlane,2011-01-23,Death,Bull Mastiff,Chickens
Leopold,2011-01-24,Death,Staffies,Cat
Corio,2011-01-24,Death (PTS),Husky,Cat
Whittington,2011-01-20,Unknown,Unknown,Dog
Belmont,2011-02-04,Unknown,Jack Russel,Dog
